algorithm,iteration,conflicts,unknown,notConflicts,percentColored
Random,76,1,0,19,1.0
Random,77,0,0,20,1.0
Random,78,0,0,20,1.0
Random,79,0,0,20,1.0
Random,80,0,0,20,1.0
Random,81,0,0,20,1.0
Random,82,0,0,20,1.0
Random,83,0,0,20,1.0
Random,84,0,0,20,1.0
Random,85,0,0,20,1.0
Random,86,0,0,20,1.0
Random,87,0,0,20,1.0
Random,88,0,0,20,1.0
Random,89,0,0,20,1.0
Random,90,0,0,20,1.0
Random,91,0,0,20,1.0
Random,92,0,0,20,1.0
Random,93,0,0,20,1.0
Random,94,0,0,20,1.0
Random,95,0,0,20,1.0
Random,96,0,0,20,1.0
Random,97,0,0,20,1.0
Random,98,0,0,20,1.0
Random,99,0,0,20,1.0
Random,100,0,0,20,1.0
Random,101,0,0,20,1.0
MostChanged,0,0,20,0,0.0
MostChanged,1,0,20,0,0.15
MostChanged,2,0,18,2,0.3
MostChanged,3,0,16,4,0.4
MostChanged,4,0,15,5,0.5
MostChanged,5,0,13,7,0.6
MostChanged,6,0,12,8,0.65
MostChanged,7,0,10,10,0.7
MostChanged,8,0,10,10,0.7
MostChanged,9,0,10,10,0.7
MostChanged,10,0,10,10,0.7
MostChanged,11,1,8,11,0.8
MostChanged,12,1,8,11,0.8
MostChanged,13,2,8,10,0.8
MostChanged,14,2,8,10,0.8
MostChanged,15,3,8,9,0.8
MostChanged,16,4,6,10,0.85
MostChanged,17,3,6,11,0.85
MostChanged,18,3,6,11,0.85
MostChanged,19,2,4,14,0.9
MostChanged,20,2,4,14,0.9
MostChanged,21,2,4,14,0.9
MostChanged,22,2,4,14,0.9
MostChanged,23,2,4,14,0.9
MostChanged,24,1,4,15,0.9
MostChanged,25,1,4,15,0.9
MostChanged,26,2,4,14,0.9
MostChanged,27,2,4,14,0.9
MostChanged,28,2,4,14,0.9
MostChanged,29,2,4,14,0.9
MostChanged,30,3,4,13,0.9
MostChanged,31,3,4,13,0.9
MostChanged,32,4,4,12,0.9
MostChanged,33,4,4,12,0.9
MostChanged,34,4,4,12,0.9
MostChanged,35,4,4,12,0.9
MostChanged,36,4,4,12,0.9
MostChanged,37,5,4,11,0.9
MostChanged,38,5,4,11,0.9
MostChanged,39,5,4,11,0.9
MostChanged,40,4,4,12,0.9
MostChanged,41,3,4,13,0.9
MostChanged,42,4,1,15,0.95
MostChanged,43,4,1,15,0.95
MostChanged,44,4,1,15,0.95
MostChanged,45,4,1,15,0.95
MostChanged,46,4,1,15,0.95
MostChanged,47,4,1,15,0.95
MostChanged,48,4,1,15,0.95
MostChanged,49,4,1,15,0.95
MostChanged,50,5,1,14,0.95
MostChanged,51,5,1,14,0.95
MostChanged,52,5,1,14,0.95
MostChanged,53,4,1,15,0.95
MostChanged,54,4,1,15,0.95
MostChanged,55,5,1,14,0.95
MostChanged,56,6,1,13,0.95
MostChanged,57,6,1,13,0.95
MostChanged,58,6,1,13,0.95
MostChanged,59,4,1,15,0.95
MostChanged,60,4,1,15,0.95
MostChanged,61,4,1,15,0.95
MostChanged,62,5,1,14,0.95
MostChanged,63,5,1,14,0.95
MostChanged,64,5,1,14,0.95
MostChanged,65,5,1,14,0.95
MostChanged,66,5,1,14,0.95
MostChanged,67,5,1,14,0.95
MostChanged,68,4,1,15,0.95
MostChanged,69,1,1,18,0.95
MostChanged,70,1,1,18,0.95
MostChanged,71,1,1,18,0.95
MostChanged,72,1,1,18,0.95
MostChanged,73,1,1,18,0.95
MostChanged,74,1,1,18,0.95
MostChanged,75,1,1,18,0.95
MostChanged,76,1,1,18,0.95
MostChanged,77,1,1,18,0.95
MostChanged,78,1,0,19,1.0
MostChanged,79,1,0,19,1.0
MostChanged,80,1,0,19,1.0
MostChanged,81,4,0,16,1.0
MostChanged,82,3,0,17,1.0
MostChanged,83,3,0,17,1.0
MostChanged,84,1,0,19,1.0
MostChanged,85,2,0,18,1.0
MostChanged,86,2,0,18,1.0
MostChanged,87,1,0,19,1.0
MostChanged,88,1,0,19,1.0
MostChanged,89,1,0,19,1.0
MostChanged,90,1,0,19,1.0
MostChanged,91,1,0,19,1.0
MostChanged,92,1,0,19,1.0
MostChanged,93,1,0,19,1.0
MostChanged,94,1,0,19,1.0
MostChanged,95,1,0,19,1.0
MostChanged,96,1,0,19,1.0
MostChanged,97,1,0,19,1.0
MostChanged,98,1,0,19,1.0
MostChanged,99,1,0,19,1.0
MostChanged,100,1,0,19,1.0
MostChanged,101,1,0,19,1.0
MIP,0,0,20,0,0.0
MIP,1,1,19,0,0.15
MIP,2,1,19,0,0.3
MIP,3,1,16,3,0.45
MIP,4,1,14,5,0.55
MIP,5,1,10,9,0.65
MIP,6,0,10,10,0.65
MIP,7,0,8,12,0.75
MIP,8,2,8,10,0.75
MIP,9,2,8,10,0.75
MIP,10,2,7,11,0.8
MIP,11,1,7,12,0.8
MIP,12,1,5,14,0.85
MIP,13,0,4,16,0.9
MIP,14,0,4,16,0.9
MIP,15,0,3,17,0.95
MIP,16,1,3,16,0.95
MIP,17,2,3,15,0.95
MIP,18,2,0,18,1.0
MIP,19,2,0,18,1.0
MIP,20,2,0,18,1.0
MIP,21,2,0,18,1.0
MIP,22,1,0,19,1.0
MIP,23,2,0,18,1.0
MIP,24,2,0,18,1.0
MIP,25,2,0,18,1.0
MIP,26,1,0,19,1.0
MIP,27,1,0,19,1.0
MIP,28,1,0,19,1.0
MIP,29,2,0,18,1.0
MIP,30,2,0,18,1.0
MIP,31,2,0,18,1.0
MIP,32,2,0,18,1.0
MIP,33,2,0,18,1.0
MIP,34,3,0,17,1.0
MIP,35,3,0,17,1.0
MIP,36,2,0,18,1.0
MIP,37,3,0,17,1.0
MIP,38,3,0,17,1.0
MIP,39,3,0,17,1.0
MIP,40,2,0,18,1.0
MIP,41,2,0,18,1.0
MIP,42,1,0,19,1.0
MIP,43,1,0,19,1.0
MIP,44,1,0,19,1.0
MIP,45,1,0,19,1.0
MIP,46,1,0,19,1.0
MIP,47,1,0,19,1.0
MIP,48,1,0,19,1.0
MIP,49,1,0,19,1.0
MIP,50,1,0,19,1.0
MIP,51,1,0,19,1.0
MIP,52,1,0,19,1.0
MIP,53,1,0,19,1.0
MIP,54,1,0,19,1.0
MIP,55,1,0,19,1.0
MIP,56,1,0,19,1.0
MIP,57,2,0,18,1.0
MIP,58,2,0,18,1.0
MIP,59,1,0,19,1.0
MIP,60,1,0,19,1.0
MIP,61,1,0,19,1.0
MIP,62,2,0,18,1.0
MIP,63,2,0,18,1.0
MIP,64,2,0,18,1.0
MIP,65,1,0,19,1.0
MIP,66,2,0,18,1.0
MIP,67,2,0,18,1.0
MIP,68,3,0,17,1.0
MIP,69,3,0,17,1.0
MIP,70,3,0,17,1.0
MIP,71,2,0,18,1.0
MIP,72,1,0,19,1.0
MIP,73,1,0,19,1.0
MIP,74,2,0,18,1.0
MIP,75,4,0,16,1.0
MIP,76,4,0,16,1.0
MIP,77,3,0,17,1.0
MIP,78,3,0,17,1.0
MIP,79,5,0,15,1.0
MIP,80,6,0,14,1.0
MIP,81,6,0,14,1.0
MIP,82,5,0,15,1.0
MIP,83,4,0,16,1.0
MIP,84,5,0,15,1.0
MIP,85,4,0,16,1.0
MIP,86,5,0,15,1.0
MIP,87,5,0,15,1.0
MIP,88,5,0,15,1.0
MIP,89,4,0,16,1.0
MIP,90,3,0,17,1.0
MIP,91,3,0,17,1.0
MIP,92,4,0,16,1.0
MIP,93,5,0,15,1.0
MIP,94,5,0,15,1.0
MIP,95,4,0,16,1.0
MIP,96,3,0,17,1.0
MIP,97,3,0,17,1.0
MIP,98,4,0,16,1.0
MIP,99,5,0,15,1.0
MIP,100,5,0,15,1.0
MIP,101,4,0,16,1.0
